 Employee id,Name,Age,Salary,Experience,City,Department,Performance Rating
E001,Ayesha Khan,39,58628,7,Islamabad,HR,4.0
E002,Laiba Khan,59,88165,27,Karachi,HR,2.7
E003,Kashif Sheikh,23,47031,2,Peshawar,Marketing,3.3
E004,Hamza Khan,32,79696,11,Multan,Sales,2.5
E005,Bilal Khan,27,42338,3,Multan,Operations,3.8
E006,Ahmed Malik,56,68807,7,Lahore,Sales,4.5
E007,Anum Ali,58,100174,12,Lahore,IT,4.0
E008,Noor Khan,36,60911,3,Faisalabad,Admin,3.9
E009,Maryam Ahmed,45,65730,11,Faisalabad,HR,3.8
E010,Fatima Sheikh,37,70294,5,Peshawar,Sales,5.0
E011,Laiba Ahmed,42,39505,1,Karachi,Operations,3.2
E012,Sara Ahmed,58,97869,20,Quetta,Support,4.7
E013,Imran Ahmed,38,54162,4,Faisalabad,Support,4.7
E014,Saad Ali,36,71392,4,Quetta,HR,4.3
E015,Ayesha Ahmed,32,77666,10,Lahore,Support,3.1
E016,Imran Sheikh,38,120412,17,Karachi,HR,4.0
E017,Laiba Ali,43,55234,3,Peshawar,Finance,3.4
E018,Hamza Sheikh,33,52973,8,Faisalabad,Marketing,2.5
E019,Fatima Sheikh,55,49626,0,Multan,Admin,2.1
E020,Maryam Ali,37,39892,1,Lahore,HR,4.2
E021,Sara Sheikh,30,65148,2,Islamabad,Sales,3.6
E022,Anum Malik,35,93343,14,Rawalpindi,Sales,3.2
E023,Maryam Malik,55,101860,28,Rawalpindi,Marketing,2.2
E024,Ali Sheikh,57,96564,14,Rawalpindi,IT,2.2
E025,Ahmed Ahmed,26,58168,0,Multan,HR,3.5
E026,Hamza Malik,35,54671,8,Quetta,Marketing,4.4
E027,Hira Ahmed,28,53593,1,Peshawar,Operations,3.3
E028,Imran Khan,28,43193,0,Multan,HR,2.7
E029,Usman Sheikh,50,65648,4,Islamabad,Sales,3.4
E030,Sara Malik,57,45315,6,Karachi,HR,4.8
E031,Zainab Ahmed,48,91546,15,Rawalpindi,Support,4.7
E032,Fatima Malik,22,40690,1,Quetta,Sales,3.3
E033,Laiba Malik,31,55445,3,Rawalpindi,IT,3.7
E034,Laiba Khan,42,33643,1,Quetta,Finance,2.2
E035,Kashif Khan,33,51498,1,Lahore,Marketing,3.2
E036,Fahad Ahmed,59,111209,38,Lahore,Support,4.0
E037,Fahad Sheikh,42,59386,8,Multan,Marketing,2.8
E038,Hassan Ali,51,99274,10,Lahore,IT,3.4
E039,Fahad Khan,26,51969,4,Faisalabad,Finance,4.8
E040,Sara Ahmed,45,58338,9,Quetta,Sales,3.8
E041,Kashif Khan,57,81577,19,Islamabad,Sales,2.3
E042,Ayesha Sheikh,31,56465,4,Rawalpindi,Operations,2.6
E043,Hamza Sheikh,53,121332,16,Karachi,HR,3.9
E044,Hamza Khan,22,57268,1,Islamabad,Sales,2.5
E045,Imran Sheikh,49,64633,17,Lahore,HR,4.8
E046,Hassan Sheikh,24,43705,2,Peshawar,Finance,2.1
E047,Maryam Khan,44,58353,6,Lahore,Operations,4.3
E048,Hira Sheikh,31,46649,3,Islamabad,Support,2.1
E049,Bilal Malik,37,56433,8,Lahore,Support,4.6
E050,Sana Ahmed,34,86166,13,Multan,Sales,4.5
E051,Zainab Ahmed,23,46656,2,Peshawar,Operations,2.8
E052,Sara Ali,44,136768,20,Peshawar,Operations,4.8
E053,Ayesha Ali,33,65397,9,Karachi,HR,3.8
E054,Maryam Ali,49,135033,19,Lahore,Support,4.7
E055,Usman Ali,24,36110,3,Rawalpindi,Operations,3.3
E056,Bilal Sheikh,42,88334,21,Faisalabad,Sales,4.0
E057,Bilal Malik,40,72341,17,Rawalpindi,Support,4.0
E058,Saad Ahmed,58,121225,19,Karachi,Sales,2.9
E059,Hira Sheikh,60,130946,20,Quetta,Admin,4.0
E060,Kashif Malik,32,55557,10,Faisalabad,Operations,2.3
E061,Zainab Ali,36,51656,6,Karachi,IT,2.7
E062,Sana Sheikh,26,63160,3,Rawalpindi,Support,3.5
E063,Zainab Ahmed,22,55507,0,Peshawar,Marketing,2.5
E064,Kashif Malik,25,54331,4,Lahore,Admin,2.4
E065,Imran Sheikh,57,128008,20,Peshawar,Admin,4.7
E066,Sana Malik,38,85789,7,Faisalabad,Admin,3.9
E067,Hamza Malik,26,58725,5,Rawalpindi,Sales,3.0
E068,Laiba Khan,30,49155,2,Peshawar,Finance,4.1
E069,Sara Malik,48,85560,10,Quetta,Support,2.2
E070,Hira Malik,59,60073,1,Peshawar,Admin,2.0
E071,Maryam Ali,46,91272,13,Rawalpindi,Admin,2.7
E072,Hira Malik,23,43014,1,Peshawar,Finance,4.5
E073,Hassan Sheikh,56,61718,1,Peshawar,IT,2.3
E074,Hira Ahmed,51,43295,5,Faisalabad,Support,3.0
E075,Imran Ali,43,72235,12,Peshawar,Sales,4.5
E076,Sana Khan,56,58935,3,Rawalpindi,HR,4.3
E077,Ahmed Khan,37,43335,6,Islamabad,Marketing,2.4
E078,Ayesha Sheikh,35,60793,7,Multan,Finance,3.8
E079,Ayesha Ahmed,41,37682,3,Faisalabad,Support,3.2
E080,Usman Khan,59,66678,15,Faisalabad,HR,4.4
E081,Fahad Khan,44,92074,17,Multan,HR,3.5
E082,Bilal Khan,48,146251,26,Lahore,Support,4.9
E083,Imran Ahmed,49,74193,5,Faisalabad,Admin,3.4
E084,Fahad Ali,42,49679,7,Faisalabad,Admin,2.7
E085,Imran Sheikh,46,51880,10,Quetta,Operations,2.5
E086,Usman Ali,38,68327,10,Faisalabad,IT,3.5
E087,Usman Khan,37,88019,13,Rawalpindi,Admin,3.9
E088,Sana Malik,23,39641,0,Rawalpindi,Support,4.1
E089,Noor Sheikh,45,96272,15,Multan,Support,5.0
E090,Laiba Ali,44,133473,22,Faisalabad,Sales,2.8
E091,Ayesha Ahmed,42,71118,3,Islamabad,Marketing,2.6
E092,Sana Ali,59,174222,33,Faisalabad,HR,4.5
E093,Noor Ahmed,45,59809,5,Karachi,Finance,2.8
E094,Ahmed Sheikh,40,70170,4,Lahore,IT,3.7
E095,Sana Malik,50,62082,10,Karachi,Sales,4.8
E096,Sana Khan,26,68227,3,Lahore,IT,2.5
E097,Fahad Ali,27,35881,1,Peshawar,Marketing,4.3
E098,Saad Malik,50,86569,9,Peshawar,Sales,3.7
E099,Ahmed Sheikh,28,49829,3,Faisalabad,HR,2.5
E100,Fatima Sheikh,26,32087,1,Peshawar,Admin,4.1
